               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 141,            0.026298,           0.0080826,           0.0084635,             0.99645,                   1,               0.995,             0.75531,            0.013323,           0.0042264,           0.0033205,            0.007228,            0.007228,            0.007228
                 142,            0.027192,           0.0071334,           0.0068907,             0.74929,                   1,             0.87498,             0.51371,            0.016227,            0.004476,           0.0032959,           0.0072082,           0.0072082,           0.0072082
                 143,            0.029788,           0.0082772,            0.009464,             0.99685,                   1,               0.995,             0.64918,            0.016397,           0.0043922,           0.0031858,           0.0071884,           0.0071884,           0.0071884
                 144,            0.030664,           0.0077094,            0.011215,             0.99685,                   1,               0.995,             0.64918,            0.016397,           0.0043922,           0.0031858,           0.0071686,           0.0071686,           0.0071686
                 145,            0.028846,           0.0083773,            0.015862,             0.99666,                   1,               0.995,             0.66288,            0.013174,           0.0042203,           0.0032046,           0.0071488,           0.0071488,           0.0071488
                 146,            0.028948,           0.0069613,           0.0099553,             0.99587,                   1,               0.995,             0.75223,            0.019097,           0.0045176,           0.0031984,            0.007129,            0.007129,            0.007129
                 147,            0.033362,           0.0084476,           0.0094418,             0.99218,                   1,               0.995,             0.61352,            0.015129,           0.0043129,           0.0031801,           0.0071092,           0.0071092,           0.0071092
                 148,            0.027655,            0.008422,           0.0082565,             0.99218,                   1,               0.995,             0.61352,            0.015129,           0.0043129,           0.0031801,           0.0070894,           0.0070894,           0.0070894
                 149,            0.024561,           0.0079363,           0.0068476,             0.99673,                   1,               0.995,             0.85235,            0.010787,           0.0039867,           0.0031733,           0.0070696,           0.0070696,           0.0070696
                 150,            0.026569,           0.0079844,           0.0072711,             0.99712,                   1,               0.995,             0.65394,              0.0189,           0.0043462,           0.0031125,           0.0070498,           0.0070498,           0.0070498
                 151,            0.030086,           0.0080373,           0.0078915,             0.91531,                   1,               0.995,             0.65752,            0.017795,            0.004314,            0.003147,             0.00703,             0.00703,             0.00703
                 152,            0.029402,           0.0090643,           0.0091717,             0.91531,                   1,               0.995,             0.65752,            0.017795,            0.004314,            0.003147,           0.0070102,           0.0070102,           0.0070102
                 153,            0.023611,           0.0084196,           0.0093585,             0.99627,                   1,               0.995,             0.77936,            0.012423,           0.0039727,           0.0031867,           0.0069904,           0.0069904,           0.0069904
                 154,            0.023918,           0.0078733,           0.0093966,             0.96669,                   1,               0.995,             0.62116,            0.014889,           0.0041379,           0.0032008,           0.0069706,           0.0069706,           0.0069706
                 155,            0.027784,            0.008767,            0.010195,             0.98745,                   1,               0.995,             0.72004,            0.014629,           0.0040262,           0.0031085,           0.0069508,           0.0069508,           0.0069508
                 156,            0.028426,           0.0069539,           0.0069404,             0.98745,                   1,               0.995,             0.72004,            0.014629,           0.0040262,           0.0031085,            0.006931,            0.006931,            0.006931
